Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit short,2026-01-24 18:45:00,L,2961.75,1,2957.15,-4.6,-0.16,0.15,0.01,-5.01,-0.17,-4.6,-0.05
1,Entry short,2026-01-24 18:00:00,S,2957.15,1,2957.15,-4.6,-0.16,0.15,0.01,-5.01,-0.17,-4.6,-0.05
2,Exit long,2026-01-24 23:45:00,XL,2957.48,1,2961.75,-4.27,-0.14,1.86,0.06,-4.45,-0.15,-8.87,-0.09
2,Entry long,2026-01-24 18:45:00,L,2961.75,1,2961.75,-4.27,-0.14,1.86,0.06,-4.45,-0.15,-8.87,-0.09
3,Exit short,2026-01-25 00:00:00,XS,2954.46,1,2947.17,-7.29,-0.25,5.17,0.18,-10.01,-0.34,-16.16,-0.16
3,Entry short,2026-01-24 23:45:00,S,2947.17,1,2947.17,-7.29,-0.25,5.17,0.18,-10.01,-0.34,-16.16,-0.16
4,Exit long,2026-01-25 01:45:00,XL,2955.14,1,2962.46,-7.32,-0.25,1.21,0.04,-7.32,-0.25,-23.48,-0.23
4,Entry long,2026-01-25 01:15:00,L,2962.46,1,2962.46,-7.32,-0.25,1.21,0.04,-7.32,-0.25,-23.48,-0.23
5,Exit short,2026-01-25 03:00:00,XS,2963.21,1,2955.55,-7.66,-0.26,5.3,0.18,-7.66,-0.26,-31.14,-0.31
5,Entry short,2026-01-25 01:45:00,S,2955.55,1,2955.55,-7.66,-0.26,5.3,0.18,-7.66,-0.26,-31.14,-0.31
6,Exit long,2026-01-25 05:00:00,XL,2955.6,1,2962.5,-6.9,-0.23,4.8,0.16,-6.9,-0.23,-38.04,-0.38
6,Entry long,2026-01-25 03:15:00,L,2962.5,1,2962.5,-6.9,-0.23,4.8,0.16,-6.9,-0.23,-38.04,-0.38
7,Exit short,2026-01-25 07:00:00,XS,2948.08,1,2955.87,7.79,0.26,7.79,0.26,-2.07,-0.07,-30.25,-0.3
7,Entry short,2026-01-25 05:30:00,S,2955.87,1,2955.87,7.79,0.26,7.79,0.26,-2.07,-0.07,-30.25,-0.3
8,Exit long,2026-01-25 09:15:00,XL,2954.9,1,2961.6,-6.7,-0.23,1.42,0.05,-7.11,-0.24,-36.95,-0.37
8,Entry long,2026-01-25 08:45:00,L,2961.6,1,2961.6,-6.7,-0.23,1.42,0.05,-7.11,-0.24,-36.95,-0.37
9,Exit short,2026-01-25 11:00:00,XS,2959.09,1,2952.76,-6.33,-0.21,1.76,0.06,-6.33,-0.21,-43.28,-0.43
9,Entry short,2026-01-25 09:30:00,S,2952.76,1,2952.76,-6.33,-0.21,1.76,0.06,-6.33,-0.21,-43.28,-0.43
10,Exit long,2026-01-25 21:30:00,S,2933.93,1,2943.0,-9.07,-0.31,1.0,0.03,-10.42,-0.35,-52.35,-0.52
10,Entry long,2026-01-25 21:15:00,L,2943.0,1,2943.0,-9.07,-0.31,1.0,0.03,-10.42,-0.35,-52.35,-0.52
11,Exit short,2026-01-25 22:15:00,XS,2943.89,1,2933.93,-9.96,-0.34,2.93,0.1,-9.96,-0.34,-62.31,-0.62
11,Entry short,2026-01-25 21:30:00,S,2933.93,1,2933.93,-9.96,-0.34,2.93,0.1,-9.96,-0.34,-62.31,-0.62
12,Exit long,2026-01-26 13:30:00,XL,2841.89,1,2866.46,-24.57,-0.86,31.56,1.1,-24.57,-0.86,-86.88,-0.87
12,Entry long,2026-01-26 11:00:00,L,2866.46,1,2866.46,-24.57,-0.86,31.56,1.1,-24.57,-0.86,-86.88,-0.87
13,Exit short,2026-01-27 03:45:00,L,2908.36,1,2895.66,-12.7,-0.44,10.73,0.37,-19.3,-0.67,-99.58,-1.0
13,Entry short,2026-01-27 03:15:00,S,2895.66,1,2895.66,-12.7,-0.44,10.73,0.37,-19.3,-0.67,-99.58,-1.0
14,Exit long,2026-01-27 07:30:00,XL,2937.12,1,2908.36,28.76,0.99,28.76,0.99,-14.46,-0.5,-70.82,-0.71
14,Entry long,2026-01-27 03:45:00,L,2908.36,1,2908.36,28.76,0.99,28.76,0.99,-14.46,-0.5,-70.82,-0.71
15,Exit short,2026-01-27 17:30:00,XS,2935.82,1,2923.82,-12.0,-0.41,0.61,0.02,-12.0,-0.41,-82.82,-0.83
