entry_time,entry_price,exit_time,exit_price,side
2026-01-24 18:00:00,2957.15,2026-01-24 18:45:00,2961.75,short
2026-01-24 18:45:00,2961.75,2026-01-24 23:45:00,2957.48,long
2026-01-24 23:45:00,2947.17,2026-01-25 00:00:00,2954.46,short
2026-01-25 01:15:00,2962.46,2026-01-25 01:45:00,2955.14,long
2026-01-25 01:45:00,2955.55,2026-01-25 03:00:00,2963.21,short
2026-01-25 03:15:00,2962.5,2026-01-25 05:00:00,2955.6,long
2026-01-25 05:30:00,2955.87,2026-01-25 07:00:00,2948.08,short
2026-01-25 08:45:00,2961.6,2026-01-25 09:15:00,2954.9,long
2026-01-25 09:30:00,2952.76,2026-01-25 11:00:00,2959.09,short
2026-01-25 21:15:00,2943.0,2026-01-25 21:30:00,2933.93,long
2026-01-25 21:30:00,2933.93,2026-01-25 22:15:00,2943.89,short
2026-01-26 11:00:00,2866.46,2026-01-26 13:30:00,2841.89,long
2026-01-27 03:15:00,2895.66,2026-01-27 03:45:00,2908.36,short
2026-01-27 03:45:00,2908.36,2026-01-27 07:30:00,2937.12,long
2026-01-27 16:30:00,2923.82,2026-01-27 17:30:00,2935.82,short
2026-01-28 00:15:00,2927.6,2026-01-28 00:30:00,2909.79,long
2026-01-28 00:30:00,2909.79,2026-01-28 01:00:00,2926.18,short
2026-01-28 01:00:00,2929.87,2026-01-28 02:00:00,2955.78,long
2026-01-28 13:15:00,3001.57,2026-01-28 16:45:00,3014.99,short
2026-01-28 16:45:00,3013.24,2026-01-28 18:00:00,3000.51,long
2026-01-28 18:00:00,2997.79,2026-01-28 19:30:00,3010.22,short
2026-01-28 20:00:00,3029.88,2026-01-28 21:15:00,3014.89,long
2026-01-29 01:00:00,2988.58,2026-01-29 01:30:00,3008.65,short
2026-01-29 06:00:00,3020.85,2026-01-29 07:00:00,2995.8,long
2026-01-29 09:30:00,3012.0,2026-01-29 11:15:00,2988.48,short
2026-01-30 09:45:00,2821.0,2026-01-30 10:15:00,2801.55,long
2026-01-30 10:15:00,2806.09,2026-01-30 11:30:00,2778.26,short
2026-01-30 21:45:00,2758.5,2026-01-30 22:45:00,2736.67,long
2026-01-30 23:45:00,2728.79,2026-01-31 00:30:00,2751.08,short
2026-01-31 00:30:00,2757.72,2026-01-31 01:15:00,2730.31,long
2026-01-31 01:15:00,2709.14,2026-01-31 02:30:00,2742.6,short
2026-01-31 05:15:00,2746.55,2026-01-31 06:15:00,2706.18,long
2026-01-31 06:15:00,2681.4,2026-01-31 10:15:00,2708.96,short
2026-01-31 11:15:00,2708.9,2026-01-31 11:30:00,2703.93,long
2026-01-31 11:30:00,2703.93,2026-01-31 16:15:00,2685.88,short
2026-02-01 09:30:00,2445.98,2026-02-01 15:30:00,2426.04,long
2026-02-01 15:30:00,2426.04,2026-02-01 17:00:00,2395.63,short
2026-02-02 18:45:00,2248.13,2026-02-02 19:45:00,2306.31,long
2026-02-03 06:00:00,2325.14,2026-02-03 08:00:00,2350.82,short
2026-02-03 08:30:00,2350.48,2026-02-03 10:00:00,2328.97,long
2026-02-03 12:15:00,2328.91,2026-02-03 12:45:00,2299.3,short
2026-02-03 14:30:00,2352.77,2026-02-03 15:00:00,2327.56,long
2026-02-03 15:15:00,2328.31,2026-02-03 19:00:00,2297.37,short
2026-02-03 23:45:00,2311.06,2026-02-04 00:30:00,2289.72,long
2026-02-04 00:45:00,2255.66,2026-02-04 01:15:00,2283.07,short
2026-02-04 06:45:00,2298.93,2026-02-04 08:45:00,2250.0,long
2026-02-04 09:45:00,2232.23,2026-02-04 11:00:00,2270.95,short
2026-02-04 11:00:00,2272.22,2026-02-04 19:15:00,2259.89,long
2026-02-04 19:15:00,2259.89,2026-02-04 21:00:00,2234.65,short
2026-02-05 06:30:00,2172.14,2026-02-05 07:15:00,2142.41,long
2026-02-05 07:15:00,2142.41,2026-02-05 10:30:00,2155.09,short
2026-02-05 10:30:00,2155.09,2026-02-05 12:00:00,2125.52,long
2026-02-05 12:00:00,2125.52,2026-02-05 16:45:00,2070.88,short
2026-02-05 19:00:00,2138.37,2026-02-05 20:45:00,2106.51,long
2026-02-05 21:00:00,2086.21,2026-02-06 01:00:00,2032.98,short
2026-02-06 11:45:00,1930.79,2026-02-06 17:00:00,1891.41,long
2026-02-06 18:00:00,1900.97,2026-02-06 20:00:00,1914.07,short
2026-02-06 20:00:00,1914.07,2026-02-06 23:15:00,1949.1,long
2026-02-07 11:00:00,2034.87,2026-02-07 11:45:00,2062.0,short
2026-02-07 11:45:00,2060.69,2026-02-07 14:00:00,2092.07,long
2026-02-07 17:00:00,2013.93,2026-02-07 22:00:00,2035.08,short
2026-02-07 22:30:00,2041.92,2026-02-08 00:45:00,2017.23,long
2026-02-08 10:30:00,2077.12,2026-02-08 11:30:00,2089.25,short
2026-02-08 11:30:00,2089.25,2026-02-08 13:45:00,2077.86,long
2026-02-08 13:45:00,2077.86,2026-02-08 18:15:00,2092.08,short
2026-02-08 18:15:00,2101.46,2026-02-08 20:15:00,2083.04,long
2026-02-09 02:00:00,2105.76,2026-02-09 02:45:00,2078.97,short
2026-02-09 05:30:00,2118.46,2026-02-09 06:45:00,2100.44,long
2026-02-09 07:30:00,2094.34,2026-02-09 09:00:00,2112.36,short
2026-02-09 14:15:00,2095.62,2026-02-09 15:00:00,2082.99,long
2026-02-09 15:00:00,2082.99,2026-02-09 15:15:00,2091.4,short
2026-02-09 15:15:00,2091.4,2026-02-09 16:15:00,2072.73,long
2026-02-09 16:15:00,2073.3,2026-02-09 18:15:00,2050.14,short
2026-02-10 01:30:00,2060.6,2026-02-10 02:45:00,2098.2,long
2026-02-10 10:15:00,2103.12,2026-02-10 11:30:00,2119.89,short
2026-02-10 11:30:00,2119.89,2026-02-10 12:45:00,2101.31,long
2026-02-10 12:45:00,2107.08,2026-02-10 13:15:00,2082.37,short
2026-02-11 01:45:00,2021.32,2026-02-11 04:30:00,2008.99,long
2026-02-11 04:30:00,2008.99,2026-02-11 09:30:00,2019.53,short
2026-02-11 09:30:00,2019.53,2026-02-11 13:15:00,2005.9,long
2026-02-11 13:15:00,2010.0,2026-02-11 14:15:00,1989.87,short
2026-02-12 00:00:00,2002.84,2026-02-12 00:30:00,1979.43,long
2026-02-12 01:00:00,1916.89,2026-02-12 02:00:00,1948.27,short
2026-02-12 05:15:00,1943.2,2026-02-12 07:15:00,1974.86,long
2026-02-12 09:30:00,1943.16,2026-02-12 10:30:00,1958.86,short
2026-02-12 10:30:00,1958.86,2026-02-12 16:15:00,1979.76,long
